Files,Shortnames,Dates,RA,DEC,model,instrument,teff,logg,z,enrich,stat,scale,radius
spex_prism_0429+2636_170102.fits,J0429+2636,170102, 04:29:26.63, 26:36:25.4,morley12,SPEX-PRISM,1300.0,5.5,-0.0,,470748.66403160663,2.621727348076999e-19,0.22710270340273148
spex_prism_0429+2636_170102.fits,J0429+2636,170102, 04:29:26.63, 26:36:25.4,morley14,SPEX-PRISM,450.0,5.0,-0.0,,1715325.5210143973,3.900062969736809e-17,2.7699016655578266
spex_prism_0429+2636_170102.fits,J0429+2636,170102, 04:29:26.63, 26:36:25.4,saumon12,SPEX-PRISM,1500.0,4.5,-0.0,,428440.66519578814,1.4494894933819052e-19,0.16886361320811033
spex_prism_0429+2636_170102.fits,J0429+2636,170102, 04:29:26.63, 26:36:25.4,sonora18,SPEX-PRISM,2300.0,3.0,-0.0,,64611.81706458634,3.1200185274164274e-20,0.07834425017914567
spex_prism_0539+4712_170216.fits,J0539+4712,170216, 05:39:26.17, 47:12:45.3,btcond,SPEX-PRISM,2600.0,2.5,0.5,0.0,19906.176640316757,1.8936210401937452e-20,0.06103445586189115
spex_prism_0539+4712_170216.fits,J0539+4712,170216, 05:39:26.17, 47:12:45.3,btnextgen,SPEX-PRISM,2600.0,2.5,0.5,0.0,18631.65408573328,1.8946307547171862e-20,0.06105072605592026
spex_prism_0539+4712_170216.fits,J0539+4712,170216, 05:39:26.17, 47:12:45.3,btsettl08,SPEX-PRISM,2300.0,5.0,0.5,0.0,4952.386924537337,2.958847392069969e-20,0.07629390161455545
spex_prism_0539+4712_170216.fits,J0539+4712,170216, 05:39:26.17, 47:12:45.3,btsettl15,SPEX-PRISM,2350.0,4.5,-0.0,,18656.036832825535,2.5926899196782582e-20,0.07141736646771744
spex_prism_0539+4712_170216.fits,J0539+4712,170216, 05:39:26.17, 47:12:45.3,burrows06,SPEX-PRISM,2000.0,4.5,-0.5,,12557.421774593306,5.0461955119639504e-20,0.09963469102541507
spex_prism_0539+4712_170216.fits,J0539+4712,170216, 05:39:26.17, 47:12:45.3,cond01,SPEX-PRISM,3200.0,2.5,-0.0,,56736.60321339591,7.871151818870562e-21,0.03935026726746424
spex_prism_0539+4712_170216.fits,J0539+4712,170216, 05:39:26.17, 47:12:45.3,drift,SPEX-PRISM,1800.0,5.5,-0.6,,20122.67240279606,9.200369287888678e-20,0.13453372637614394
spex_prism_0539+4712_170216.fits,J0539+4712,170216, 05:39:26.17, 47:12:45.3,dusty01,SPEX-PRISM,2200.0,4.0,-0.0,,31648.172857751582,3.354511454862189e-20,0.08123499937684217
spex_prism_0539+4712_170216.fits,J0539+4712,170216, 05:39:26.17, 47:12:45.3,madhusudhan11,SPEX-PRISM,1700.0,5.0,-0.0,,65253.73136994895,9.829702125506005e-20,0.13905887787350085
spex_prism_0539+4712_170216.fits,J0539+4712,170216, 05:39:26.17, 47:12:45.3,morley12,SPEX-PRISM,1300.0,5.5,-0.0,,236407.2182869471,2.474813628956177e-19,0.2206478964154458
spex_prism_0539+4712_170216.fits,J0539+4712,170216, 05:39:26.17, 47:12:45.3,morley14,SPEX-PRISM,450.0,5.0,-0.0,,936139.2553868361,3.6915029522002355e-17,2.6948224201374766
spex_prism_0539+4712_170216.fits,J0539+4712,170216, 05:39:26.17, 47:12:45.3,saumon12,SPEX-PRISM,1500.0,4.5,-0.0,,202741.721633124,1.3745642666672774e-19,0.16444136257957823
spex_prism_0539+4712_170216.fits,J0539+4712,170216, 05:39:26.17, 47:12:45.3,sonora18,SPEX-PRISM,2300.0,3.0,-0.0,,22051.693606958557,2.984656976892344e-20,0.07662592929624384
spex_prism_0022+0324_160911.fits,J0022+0324,160911, 00:22:10.50, 03:24:43.2,btcond,SPEX-PRISM,3100.0,5.0,-0.5,0.2,46523.68852821927,9.824914576956447e-21,0.043963568171980896
spex_prism_0022+0324_160911.fits,J0022+0324,160911, 00:22:10.50, 03:24:43.2,btnextgen,SPEX-PRISM,3100.0,5.0,-0.5,0.2,27665.884937146602,9.823808495219211e-21,0.04396109340906254
spex_prism_0022+0324_160911.fits,J0022+0324,160911, 00:22:10.50, 03:24:43.2,btsettl08,SPEX-PRISM,3300.0,5.5,0.5,0.0,16840.552609290786,7.775099275867553e-21,0.039109432429761386
spex_prism_0022+0324_160911.fits,J0022+0324,160911, 00:22:10.50, 03:24:43.2,btsettl15,SPEX-PRISM,3200.0,5.0,-0.0,,28068.004883709393,8.699380177522345e-21,0.04136877845812919
spex_prism_0022+0324_160911.fits,J0022+0324,160911, 00:22:10.50, 03:24:43.2,burrows06,SPEX-PRISM,2600.0,5.0,-0.5,,713151.4734285598,1.678043710704223e-20,0.05745531057399808
spex_prism_0022+0324_160911.fits,J0022+0324,160911, 00:22:10.50, 03:24:43.2,cond01,SPEX-PRISM,3200.0,4.5,-0.0,,44596.75418934532,8.993147616208527e-21,0.04206146575878826
spex_prism_0022+0324_160911.fits,J0022+0324,160911, 00:22:10.50, 03:24:43.2,drift,SPEX-PRISM,3000.0,3.5,-0.6,,113573.92673370038,1.0949263498521118e-20,0.046411007421728045
spex_prism_0022+0324_160911.fits,J0022+0324,160911, 00:22:10.50, 03:24:43.2,dusty01,SPEX-PRISM,3000.0,5.0,-0.0,,67221.06874466942,1.1129290391516478e-20,0.04679099484922655
spex_prism_0022+0324_160911.fits,J0022+0324,160911, 00:22:10.50, 03:24:43.2,madhusudhan11,SPEX-PRISM,1700.0,4.0,-0.0,,2350627.5270024873,8.696039593740146e-20,0.13079444401469115
spex_prism_0022+0324_160911.fits,J0022+0324,160911, 00:22:10.50, 03:24:43.2,morley12,SPEX-PRISM,1300.0,5.5,-0.0,,3570668.1556915175,2.316189562852143e-19,0.2134595512072806
spex_prism_0022+0324_160911.fits,J0022+0324,160911, 00:22:10.50, 03:24:43.2,morley14,SPEX-PRISM,450.0,5.0,-0.0,,10162515.054544678,3.90310976414307e-17,2.7709834010804113
spex_prism_0022+0324_160911.fits,J0022+0324,160911, 00:22:10.50, 03:24:43.2,saumon12,SPEX-PRISM,1500.0,4.5,-0.0,,3496651.6663348116,1.2615388978416012e-19,0.15753565566548025
spex_prism_0022+0324_160911.fits,J0022+0324,160911, 00:22:10.50, 03:24:43.2,sonora18,SPEX-PRISM,2400.0,3.0,-0.0,,938688.8143517477,2.395434254974672e-20,0.0686468588794763
spex_prism_0433+2428_170105.fits,J0433+2428,170105, 04:33:01.43, 24:28:23.3,btcond,SPEX-PRISM,2900.0,0.0,0.3,0.0,4956.395749391933,2.189951923505876e-20,0.06563656310862805
spex_prism_0433+2428_170105.fits,J0433+2428,170105, 04:33:01.43, 24:28:23.3,btnextgen,SPEX-PRISM,2900.0,0.0,0.5,0.0,4857.046368366187,2.188614154299124e-20,0.0656165124432113
spex_prism_0433+2428_170105.fits,J0433+2428,170105, 04:33:01.43, 24:28:23.3,btsettl08,SPEX-PRISM,1700.0,5.0,0.5,0.0,3519.8580755395146,2.133307366945112e-19,0.20485909905717467
spex_prism_0433+2428_170105.fits,J0433+2428,170105, 04:33:01.43, 24:28:23.3,btsettl15,SPEX-PRISM,1700.0,5.5,-0.0,,2692.4327321930145,1.5375922469082898e-19,0.1739198419561521
spex_prism_0433+2428_170105.fits,J0433+2428,170105, 04:33:01.43, 24:28:23.3,burrows06,SPEX-PRISM,1700.0,4.5,-0.0,,7269.162013001815,1.3336290041224215e-19,0.16197427991853774
spex_prism_0433+2428_170105.fits,J0433+2428,170105, 04:33:01.43, 24:28:23.3,cond01,SPEX-PRISM,3400.0,2.5,-0.0,,22367.62576570864,8.3569710199962e-21,0.04054646436802398
spex_prism_0433+2428_170105.fits,J0433+2428,170105, 04:33:01.43, 24:28:23.3,drift,SPEX-PRISM,1700.0,5.5,-0.6,,2514.196269041503,1.835851514594898e-19,0.19004100477380673
spex_prism_0433+2428_170105.fits,J0433+2428,170105, 04:33:01.43, 24:28:23.3,dusty01,SPEX-PRISM,1900.0,6.0,-0.0,,4156.976897650593,1.0137732661668165e-19,0.14122089484544117
spex_prism_0433+2428_170105.fits,J0433+2428,170105, 04:33:01.43, 24:28:23.3,madhusudhan11,SPEX-PRISM,1700.0,4.0,-0.0,,2426.166227603684,1.6138736761972977e-19,0.17818178725142766
spex_prism_0433+2428_170105.fits,J0433+2428,170105, 04:33:01.43, 24:28:23.3,morley12,SPEX-PRISM,800.0,5.5,-0.0,,33485.11529492532,4.282797510247156e-18,0.9178935384352572
spex_prism_0433+2428_170105.fits,J0433+2428,170105, 04:33:01.43, 24:28:23.3,morley14,SPEX-PRISM,450.0,5.0,-0.0,,110315.70341567538,3.8983792212806906e-17,2.7693036853242163
spex_prism_0433+2428_170105.fits,J0433+2428,170105, 04:33:01.43, 24:28:23.3,saumon12,SPEX-PRISM,1500.0,4.5,-0.0,,38560.91921797303,1.8459102072702e-19,0.19056091414967552
spex_prism_0433+2428_170105.fits,J0433+2428,170105, 04:33:01.43, 24:28:23.3,sonora18,SPEX-PRISM,1900.0,3.0,-0.0,,15742.961640761347,8.542307951615021e-20,0.12963317373398445
spex_prism_1622-2445_170210.fits,J1622-2445,170210, 16:22:13.14,-24:45:34.1,btcond,SPEX-PRISM,3000.0,1.0,0.3,0.0,173479.29094798883,1.2789728110783547e-20,0.05016019289567001
