Files,Shortnames,Dates,RA,DEC,Standard,Standard_error,Gravity,Index_burgasser,Index_burgasser_err,Index_allers,Index_allers_err,Index_reid,Index_reid_err
spex_prism_0106-2314_160921.fits,J0106-2314,160921, 01:06:30.92,-23:14:19.8,L9.0,0.801367955520768,FLD-G,L7.2,0.8296023144314406,L0.6:,1.0183203111766699,L4.5:,1.424324048513477
spex_prism_1639-2252_170210.fits,J1639-2252,170210, 16:39:07.24,-22:52:52.3,M8.0,0.5,VL-G,L3.4:,1.1362555985317995,M6.1,0.32886134112466636,,
spex_prism_2356-0306_160911.fits,J2356-0306,160911, 23:56:42.82,-03:06:25.0,M3.0,0.8063695572235752,,L2.5,0.6676819044536373,M4.4:,1.1093229611949256,,
spex_prism_0058+2430_161031.fits,J0058+2430,161031, 00:58:45.49, 24:31:00.0,M5.0,0.5,,L6.0:,1.1071390913930301,M4.3,0.5179517237940946,,
spex_prism_1617-2229_170213.fits,J1617-2229,170213, 16:17:18.30,-22:29:52.3,M6.0,0.5,,L5.4:,1.1022208528280883,M4.6,0.4588934792023067,,
spex_prism_2155-1954_161014.fits,J2155-1954,161014, 21:55:50.27,-19:54:35.6,L7.0,0.5000097616176267,FLD-G,L5.8,0.8747679032756253,L1.2,0.6767130957391421,L0.3:,0.9997347727076887
spex_prism_1630-1936_170213.fits,J1630-1936,170213, 16:30:23.67,-19:36:02.1,M9.0,0.5055611342621099,,L4.6:,1.1397372400444012,M5.9,0.33827268265055804,,
spex_prism_0446+1701_161012.fits,J0446+1701,161012, 04:46:24.20, 17:01:47.6,L4.0:,1.458761817845075,VL-G,L2.7,0.5504773555428963,M7.8,0.30752490688626083,L0.6:,1.023740099890033
spex_prism_0343+3201_170219.fits,J0343+3201,170219, 03:43:45.48, 32:01:05.6,L7.0,0.566248818043002,VL-G,L5.4,0.6939302401540222,M9.1,0.6559452374490915,M9.1:,1.0683351799952345
spex_prism_0008-2813_160806.fits,J0008-2813,160806, 00:08:56.67,-28:13:30.1,M0.5,0.85386225526146,,T1.2,0.41154610081376025,M5.9,0.9287994088476449,,
